t_s,theta1_rad_clean,theta2_rad_clean,omega1_rad_s_clean,omega2_rad_s_clean,theta1_rad_noisy,theta2_rad_noisy
0.210000,0.1813006598,0.2161228721,-1.0525611460,0.1080456608,0.1887543199,0.2131712475
0.220000,0.1706040507,0.2171802681,-1.0863841379,0.1031896574,0.1659248814,0.2154404464
0.230000,0.1595806599,0.2181816829,-1.1179025131,0.0968392151,0.1654598052,0.2159397247
0.240000,0.1482539693,0.2191118801,-1.1470305184,0.0889374224,0.1419845660,0.2211759739
0.250000,0.1366482753,0.2199551008,-1.1736911224,0.0794368303,0.1334595178,0.2229595133
0.260000,0.1247885973,0.2206951632,-1.1978169351,0.0683005632,0.1293241233,0.2150369586
0.270000,0.1127005771,0.2213155738,-1.2193509705,0.0555032316,0.1055571736,0.2247495958
0.280000,0.1004103718,0.2217996455,-1.2382472240,0.0410316094,0.0997100282,0.2247284862
0.290000,0.0879445420,0.2221306215,-1.2544710433,0.0248850499,0.0836357675,0.2244594718
0.300000,0.0753299375,0.2222918022,-1.2679992796,0.0070756246,0.0740518406,0.2152023297
0.310000,0.0625935820,0.2222666719,-1.2788202181,-0.0123720180,0.0486006365,0.2244695834
0.320000,0.0497625605,0.2220390225,-1.2869332924,-0.0334210644,0.0409048950,0.2224519996
0.330000,0.0368639098,0.2215930724,-1.2923486016,-0.0560231978,0.0333645236,0.2263974728
0.340000,0.0239245150,0.2209135770,-1.2950862512,-0.0801194809,0.0285618272,0.2298353610
0.350000,0.0109710135,0.2199859297,-1.2951755501,-0.1056414198,0.0101028351,0.2279262691
0.360000,-0.0019702926,0.2187962518,-1.2926540952,-0.1325121684,-0.0019560631,0.2193594727
0.370000,-0.0148735148,0.2173314693,-1.2875667799,-0.1606478286,-0.0114324012,0.2173220959
0.380000,-0.0277132453,0.2155793770,-1.2799647627,-0.1899588009,-0.0321109270,0.2187391185
0.390000,-0.0404646152,0.2135286884,-1.2699044264,-0.2203511446,-0.0390464786,0.2079534887
0.400000,-0.0531033411,0.2111690725,-1.2574463607,-0.2517279110,-0.0571301737,0.2039156568
0.410000,-0.0656057625,0.2084911777,-1.2426543912,-0.2839904158,-0.0742441099,0.2061285247
0.420000,-0.0779488696,0.2054866426,-1.2255946764,-0.3170394267,-0.0799033685,0.2115894872
0.430000,-0.0901103223,0.2021480966,-1.2063348872,-0.3507762466,-0.0872412930,0.2004924551
0.440000,-0.1020684619,0.1984691492,-1.1849434794,-0.3851036776,-0.1003755166,0.2059820538
0.450000,-0.1138023153,0.1944443709,-1.1614890647,-0.4199268608,-0.1138614677,0.1805038065
0.460000,-0.1252915941,0.1900692659,-1.1360398828,-0.4551539852,-0.1133297677,0.1821332338
0.470000,-0.1365166886,0.1853402391,-1.1086633714,-0.4906968703,-0.1344521278,0.1847217954
0.480000,-0.1474586582,0.1802545568,-1.0794258320,-0.5264714238,-0.1425649782,0.1846955295
0.490000,-0.1580992184,0.1748103045,-1.0483921853,-0.5623979800,-0.1469085017,0.1744621890
0.500000,-0.1684207263,0.1690063411,-1.0156258083,-0.5984015289,-0.1748911530,0.1685280774
0.510000,-0.1784061648,0.1628422519,-0.9811884484,-0.6344118404,-0.1836001059,0.1622335444
0.520000,-0.1880391259,0.1563183003,-0.9451402052,-0.6703634936,-0.1793205647,0.1475038117
0.530000,-0.1973037945,0.1494353803,-0.9075395745,-0.7061958182,-0.2012941081,0.1552257247
0.540000,-0.2061849329,0.1421949691,-0.8684435484,-0.7418527542,-0.2060365167,0.1387811455
0.550000,-0.2146678664,0.1345990825,-0.8279077660,-0.7772826366,-0.2093212865,0.1400467458
0.560000,-0.2227384707,0.1266502322,-0.7859867118,-0.8124379087,-0.2182849388,0.1262976151
0.570000,-0.2303831617,0.1183513861,-0.7427339583,-0.8472747683,-0.2216087308,0.1236921880
0.580000,-0.2375888874,0.1097059334,-0.6982024516,-0.8817527497,-0.2301106667,0.1114222233
0.590000,-0.2443431237,0.1007176530,-0.6524448393,-0.9158342413,-0.2389961603,0.1001842805
0.600000,-0.2506338729,0.0913906880,-0.6055138416,-0.9494839413,-0.2544974164,0.0925219963
0.610000,-0.2564496665,0.0817295256,-0.5574626667,-0.9826682496,-0.2524753532,0.0743646375
0.620000,-0.2617795726,0.0717389829,-0.5083454731,-1.0153545973,-0.2602082127,0.0717691296
0.630000,-0.2666132077,0.0614242010,-0.4582178805,-1.0475107109,-0.2732445350,0.0700044026
0.640000,-0.2709407541,0.0507906453,-0.4071375318,-1.0791038133,-0.2638542589,0.0573316131
0.650000,-0.2747529831,0.0398441150,-0.3551647095,-1.1100997605,-0.2707168004,0.0349189971
0.660000,-0.2780412849,0.0285907617,-0.3023630051,-1.1404621173,-0.2778138345,0.0311191909
0.670000,-0.2807977051,0.0170371165,-0.2488000434,-1.1701511769,-0.2819631654,0.0182770159
0.680000,-0.2830149891,0.0051901286,-0.1945482564,-1.1991229310,-0.2890064948,0.0092760700
0.690000,-0.2846866336,-0.0069427872,-0.1396857013,-1.2273280048,-0.2836890133,-0.0064720228
0.700000,-0.2858069481,-0.0193536907,-0.0842969112,-1.2547105740,-0.2834647525,-0.0205212107
0.710000,-0.2863711231,-0.0320340468,-0.0284737619,-1.2812072880,-0.2905268980,-0.0253808929
0.720000,-0.2863753081,-0.0449746450,0.0276836694,-1.3067462355,-0.2805642879,-0.0438926621
0.730000,-0.2858166980,-0.0581655087,0.0840662851,-1.3312459913,-0.2913027132,-0.0518881871
0.740000,-0.2846936268,-0.0715957962,0.1405552277,-1.3546148001,-0.2953091286,-0.0667238652
0.750000,-0.2830056686,-0.0852536938,0.1970212710,-1.3767499592,-0.2778070331,-0.0868761300
0.760000,-0.2807537432,-0.0991263045,0.2533243993,-1.3975374719,-0.2827705734,-0.0999613058
0.770000,-0.2779402257,-0.1131995346,0.3093136427,-1.4168520514,-0.2785703736,-0.1035503725
0.780000,-0.2745690547,-0.1274579830,0.3648272391,-1.4345575584,-0.2787566383,-0.1265005714
0.790000,-0.2706458387,-0.1418848364,0.4196931956,-1.4505079526,-0.2786756525,-0.1456779785
0.800000,-0.2661779527,-0.1564617777,0.4737303162,-1.4645488266,-0.2599017659,-0.1624619941
0.810000,-0.2611746240,-0.1711689129,0.5267497494,-1.4765195742,-0.2646189689,-0.1662982507
0.820000,-0.2556469977,-0.1859847222,0.5785570890,-1.4862562100,-0.2473422353,-0.1851832535
0.830000,-0.2496081803,-0.2008860432,0.6289550275,-1.4935948181,-0.2455716393,-0.2048465030
0.840000,-0.2430732524,-0.2158480913,0.6777465240,-1.4983755565,-0.2446470432,-0.2124751672
0.850000,-0.2360592494,-0.2308445222,0.7247384036,-1.5004470865,-0.2414887614,-0.2300457787
0.860000,-0.2285851024,-0.2458475398,0.7697452548,-1.4996712409,-0.2322474124,-0.2541499152
0.870000,-0.2206715415,-0.2608280522,0.8125934532,-1.4959276978,-0.2267341572,-0.2578846244
0.880000,-0.2123409574,-0.2757558717,0.8531251010,-1.4891183901,-0.2019053906,-0.2690899181
0.890000,-0.2036172256,-0.2905999577,0.8912016601,-1.4791713759,-0.2027950195,-0.2778007066
0.900000,-0.1945254975,-0.3053286942,0.9267070564,-1.4660439048,-0.1887744698,-0.3051541813
0.910000,-0.1850919621,-0.3199101923,0.9595500621,-1.4497244680,-0.1914287223,-0.3187469440
0.920000,-0.1753435901,-0.3343126088,0.9896658076,-1.4302336828,-0.1744384144,-0.3262796248
0.930000,-0.1653078663,-0.3485044661,1.0170163404,-1.4076239550,-0.1594185566,-0.3476608548
0.940000,-0.1550125216,-0.3624549639,1.0415902180,-1.3819779522,-0.1566875754,-0.3610782546
0.950000,-0.1444852742,-0.3761342694,1.0634011942,-1.3534060127,-0.1393297019,-0.3792873613
0.960000,-0.1337535868,-0.3895137773,1.0824861190,-1.3220426843,-0.1391764264,-0.3964856529
0.970000,-0.1228444498,-0.4025663322,1.0989022201,-1.2880426371,-0.1296618075,-0.3980028926
0.980000,-0.1117841919,-0.4152664076,1.1127239569,-1.2515762167,-0.1098871888,-0.4216342587
0.990000,-0.1005983253,-0.4275902395,1.1240396474,-1.2128248961,-0.1024942074,-0.4218869583
1.000000,-0.0893114240,-0.4395159162,1.1329480548,-1.1719768602,-0.0861011505,-0.4434567439
1.010000,-0.0779470359,-0.4510234238,1.1395550940,-1.1292229119,-0.0878364755,-0.4496972540
1.020000,-0.0665276267,-0.4620946544,1.1439707852,-1.0847528377,-0.0629663036,-0.4639560131
1.030000,-0.0550745532,-0.4727133798,1.1463065443,-1.0387523183,-0.0420830335,-0.4668403786
1.040000,-0.0436080603,-0.4828651972,1.1466728631,-0.9914004225,-0.0437311902,-0.4813609652
1.050000,-0.0321473013,-0.4925374532,1.1451773998,-0.9428676789,-0.0319765907,-0.4827419764
1.060000,-0.0207103733,-0.5017191511,1.1419234739,-0.8933146917,-0.0198126258,-0.5071375395
1.070000,-0.0093143665,-0.5104008468,1.1370089425,-0.8428912458,-0.0186242451,-0.5083315314
1.080000,0.0020245764,-0.5185745374,1.1305254179,-0.7917358305,0.0041553096,-0.5183378280
1.090000,0.0132911956,-0.5262335483,1.1225577837,-0.7399755112,0.0052641469,-0.5248338304
1.100000,0.0244710455,-0.5333724185,1.1131839609,-0.6877260762,0.0223326475,-0.5253928126
1.110000,0.0355504247,-0.5399867901,1.1024748770,-0.6350923917,0.0417647724,-0.5370602000
1.120000,0.0465163065,-0.5460733014,1.0904945958,-0.5821689054,0.0428402217,-0.5518109284
1.130000,0.0573562715,-0.5516294854,1.0773005676,-0.5290402485,0.0598625164,-0.5489619313
1.140000,0.0680584432,-0.5566536750,1.0629439674,-0.4757818928,0.0731221385,-0.5587317719
1.150000,0.0786114272,-0.5611449151,1.0474700912,-0.4224608304,0.0800051315,-0.5635116899
1.160000,0.0890042542,-0.5651028807,1.0309187894,-0.3691362492,0.0821495118,-0.5598735940
1.170000,0.0992263282,-0.5685278025,1.0133249160,-0.3158601863,0.0975639519,-0.5715395024
1.180000,0.1092673788,-0.5714203985,0.9947187820,-0.2626781441,0.1190644355,-0.5733190501
1.190000,0.1191174175,-0.5737818112,0.9751265995,-0.2096296615,0.1089921886,-0.5736197749
1.200000,0.1287666994,-0.5756135511,0.9545709105,-0.1567488353,0.1273877694,-0.5708826216
1.210000,0.1382056886,-0.5769174443,0.9330709934,-0.1040647877,0.1354451482,-0.5740094953
1.220000,0.1474250268,-0.5776955851,0.9106432441,-0.0516020827,0.1480287636,-0.5788676597
1.230000,0.1564155071,-0.5779502921,0.8873015288,0.0006189094,0.1601565852,-0.5793111744
1.240000,0.1651680499,-0.5776840680,0.8630575078,0.0525816963,0.1732115047,-0.5834847163
1.250000,0.1736736823,-0.5768995622,0.8379209301,0.1042733916,0.1723225203,-0.5806987376
1.260000,0.1819235205,-0.5755995359,0.8118998980,0.1556844846,0.1859852271,-0.5788714413
1.270000,0.1899087545,-0.5737868293,0.7850011040,0.2068086467,0.1924074552,-0.5745332840
1.280000,0.1976206351,-0.5714643307,0.7572300400,0.2576425695,0.1999923716,-0.5615305155
1.290000,0.2050504627,-0.5686349471,0.7285911807,0.3081858315,0.2022308431,-0.5720122942
1.300000,0.2121895782,-0.5653015754,0.6990881422,0.3584407880,0.2072029709,-0.5667807208
1.310000,0.2190293547,-0.5614670758,0.6687238185,0.4084124806,0.2135291391,-0.5717290678
1.320000,0.2255611913,-0.5571342448,0.6375004965,0.4581085617,0.2217790053,-0.5541313893
1.330000,0.2317765073,-0.5523057896,0.6054199530,0.5075392303,0.2333849402,-0.5601930335
1.340000,0.2376667375,-0.5469843029,0.5724835343,0.5567171747,0.2414714844,-0.5515172505
1.350000,0.2432233284,-0.5411722383,0.5386922220,0.6056575186,0.2448406726,-0.5359605615
1.360000,0.2484377345,-0.5348718864,0.5040466866,0.6543777656,0.2456929591,-0.5453965286
1.370000,0.2533014160,-0.5280853509,0.4685473330,0.7028977390,0.2623312666,-0.5276057488
1.380000,0.2578058358,-0.5208145259,0.4321943398,0.7512395108,0.2654001639,-0.5168098776
1.390000,0.2619424574,-0.5130610741,0.3949876968,0.7994273164,0.2601724568,-0.5054338529
1.400000,0.2657027437,-0.5048264053,0.3569272453,0.8474874489,0.2615855866,-0.5094268709
1.410000,0.2690781554,-0.4961116568,0.3180127252,0.8954481261,0.2697292301,-0.4992317811
1.420000,0.2720601503,-0.4869176746,0.2782438356,0.9433393238,0.2783966435,-0.4778954930
1.430000,0.2746401833,-0.4772449970,0.2376203149,0.9911925668,0.2763040082,-0.4773702977
1.440000,0.2768097074,-0.4670938405,0.1961420489,1.0390406669,0.2795924509,-0.4707751602
1.450000,0.2785601757,-0.4564640883,0.1538092166,1.0869173971,0.2774997751,-0.4600515175
1.460000,0.2798830453,-0.4453552827,0.1106224843,1.1348570867,0.2821643998,-0.4502180643
1.470000,0.2807697836,-0.4337666220,0.0665832620,1.1828941219,0.2884925059,-0.4359649830
1.480000,0.2812118770,-0.4216969629,0.0216940373,1.2310623301,0.2800135331,-0.4162558605
1.490000,0.2812008441,-0.4091448295,-0.0240411942,1.2793942260,0.2819173828,-0.4047059992
1.500000,0.2807282530,-0.3961084314,-0.0706163795,1.3279200902,0.2819973354,-0.4019797829
1.510000,0.2797857456,-0.3825856909,-0.1180227163,1.3766668487,0.2812043724,-0.3815127605
1.520000,0.2783650691,-0.3685742834,-0.1662477874,1.4256567156,0.2713056247,-0.3705850821
1.530000,0.2764581171,-0.3540716924,-0.2152744896,1.4749055566,0.2670737738,-0.3501594904
1.540000,0.2740569833,-0.3390752827,-0.2650797198,1.5244209263,0.2689587080,-0.3398570813
1.550000,0.2711540289,-0.3235823943,-0.3156327797,1.5741997305,0.2719937404,-0.3217247709
1.560000,0.2677419677,-0.3075904631,-0.3668934580,1.6242254611,0.2705112485,-0.3083834891
1.570000,0.2638139727,-0.2910971703,-0.4188097510,1.6744649578,0.2611605999,-0.3020325999
1.580000,0.2593638069,-0.2741006272,-0.4713151914,1.7248646578,0.2662500943,-0.2738656150
1.590000,0.2543859828,-0.2565996006,-0.5243257627,1.7753463154,0.2536701029,-0.2629583354
1.600000,0.2488759553,-0.2385937829,-0.5777364066,1.8258022060,0.2489775353,-0.2348581409
1.610000,0.2428303511,-0.2200841128,-0.6314171609,1.8760898803,0.2418605317,-0.2234832522
1.620000,0.2362472380,-0.2010731500,-0.6852090242,1.9260266089,0.2369173720,-0.2040982133
1.630000,0.2291264370,-0.1815655068,-0.7389197135,1.9753837605,0.2326488074,-0.1816100209
1.640000,0.2214698753,-0.1615683334,-0.7923195824,2.0238814891,0.2247981425,-0.1586793636
1.650000,0.2132819784,-0.1410918537,-0.8451380815,2.0711842671,0.2087898637,-0.1419405728
1.660000,0.2045700930,-0.1201499383,-0.8970612792,2.1168979780,0.2121884119,-0.1119390245
1.670000,0.1953449260,-0.0987606953,-0.9477310866,2.1605694517,0.1898697938,-0.0905166060
1.680000,0.1856209803,-0.0769470487,-0.9967469320,2.2016894505,0.1860171154,-0.0683697058
1.690000,0.1754169579,-0.0547372666,-1.0436706543,2.2397001332,0.1740449750,-0.0559088602
1.700000,0.1647560957,-0.0321653872,-1.0880352905,2.2740078734,0.1595111373,-0.0395751795
1.710000,0.1536663914,-0.0092714888,-1.1293581692,2.3040019266,0.1532907885,-0.0031710963
1.720000,0.1421806774,0.0138982567,-1.1671582623,2.3290787875,0.1384766085,0.0118165302
1.730000,0.1303365021,0.0372917979,-1.2009771093,2.3486711936,0.1307010383,0.0374826294
1.740000,0.1181757898,0.0608517232,-1.2304018964,2.3622797227,0.1201912196,0.0639933237
1.750000,0.1057442678,0.0845160974,-1.2550885905,2.3695040186,0.1131039146,0.0764939154
1.760000,0.0930906720,0.1082195932,-1.2747825898,2.3700701205,0.0946275931,0.1163651993
1.770000,0.0802657696,0.1318948629,-1.2893343356,2.3638504049,0.0772096429,0.1362696746
1.780000,0.0673212590,0.1554740597,-1.2987078148,2.3508733867,0.0653631599,0.1572354176
1.790000,0.0543086267,0.1788904002,-1.3029808213,2.3313219811,0.0550085172,0.1833449839
1.800000,0.0412780420,0.2020796524,-1.3023370421,2.3055205036,0.0417453461,0.2048644151
1.810000,0.0282773674,0.2249814444,-1.2970511957,2.2739123006,0.0355753137,0.2255655850
1.820000,0.0153513437,0.2475403151,-1.2874693218,2.2370310647,0.0223281083,0.2460014435
1.830000,0.0025409864,0.2697064612,-1.2739867190,2.1954693849,0.0007463067,0.2660107498
1.840000,-0.0101167961,0.2914361702,-1.2570259480,2.1498479050,-0.0128600067,0.2928722416
1.850000,-0.0225893726,0.3126919596,-1.2370168544,2.1007877591,-0.0353746456,0.3144979749
1.860000,-0.0348483761,0.3334424644,-1.2143799037,2.0488879975,-0.0375929782,0.3388584584
1.870000,-0.0468695425,0.3536621269,-1.1895134413,1.9947087420,-0.0517598310,0.3546654269
1.880000,-0.0586324421,0.3733307472,-1.1627849048,1.9387600033,-0.0604065644,0.3690647396
1.890000,-0.0701201424,0.3924329477,-1.1345256146,1.8814955382,-0.0681622211,0.3845517834
1.900000,-0.0813188327,0.4109575969,-1.1050285338,1.8233108232,-0.0804328711,0.4103197861
1.910000,-0.0922174400,0.4288972302,-1.0745483114,1.7645441326,-0.0923672800,0.4287599384
1.920000,-0.1028072522,0.4462474928,-1.0433029461,1.7054797636,-0.1018093417,0.4457570349
1.930000,-0.1130815654,0.4630066211,-1.0114764946,1.6463525903,-0.1137121542,0.4553540566
1.940000,-0.1230353595,0.4791749751,-0.9792223623,1.5873532976,-0.1220502649,0.4845473008
1.950000,-0.1326650105,0.4947546235,-0.9466668273,1.5286338169,-0.1488202856,0.5001177722
1.960000,-0.1419680359,0.5097489823,-0.9139125534,1.4703126307,-0.1433145033,0.5056325565
1.970000,-0.1509428757,0.5241625064,-0.8810419307,1.4124797393,-0.1514971293,0.5281924169
1.980000,-0.1595887056,0.5380004270,-0.8481201497,1.3552011707,-0.1612950141,0.5427645813
1.990000,-0.1679052787,0.5512685329,-0.8151979617,1.2985229830,-0.1689950100,0.5514607683
2.000000,-0.1758927937,0.5639729880,-0.7823141105,1.2424747536,-0.1723762431,0.5592304949
2.010000,-0.1835517857,0.5761201827,-0.7494974442,1.1870725771,-0.1865423124,0.5841870903
2.020000,-0.1908830365,0.5877166113,-0.7167687269,1.1323216111,-0.1798795260,0.5896212184
2.030000,-0.1978875014,0.5987687742,-0.6841421778,1.0782182168,-0.1944460167,0.5975135870
2.040000,-0.2045662509,0.6092830993,-0.6516267682,1.0247517433,-0.2045977872,0.6131473263
2.050000,-0.2109204236,0.6192658787,-0.6192273059,0.9719060037,-0.2119537351,0.6273769211
2.060000,-0.2169511890,0.6287232205,-0.5869453364,0.9196604883,-0.2173838004,0.6262374197
2.070000,-0.2226597189,0.6376610100,-0.5547798869,0.8679913542,-0.2272362543,0.6411181227
2.080000,-0.2280471657,0.6460848811,-0.5227280769,0.8168722277,-0.2285231784,0.6558006820
2.090000,-0.2331146451,0.6540001939,-0.4907856152,0.7662748499,-0.2317212275,0.6484173697
2.100000,-0.2378632249,0.6614120186,-0.4589472024,0.7161695939,-0.2349655168,0.6586657507
2.110000,-0.2422939161,0.6683251243,-0.4272068528,0.6665258723,-0.2393954672,0.6653358489
2.120000,-0.2464076675,0.6747439705,-0.3955581505,0.6173124591,-0.2477820552,0.6739523348
2.130000,-0.2502053624,0.6806727025,-0.3639944481,0.5684977369,-0.2572857737,0.6796228338
2.140000,-0.2536878173,0.6861151481,-0.3325090205,0.5200498869,-0.2570333305,0.6876191253
2.150000,-0.2568557814,0.6910748168,-0.3010951787,0.4719370293,-0.2487948162,0.6869729392
2.160000,-0.2597099376,0.6955548992,-0.2697463517,0.4241273260,-0.2552296460,0.6924415818
2.170000,-0.2622509038,0.6995582681,-0.2384561419,0.3765890507,-0.2604028059,0.7010647205
2.180000,-0.2644792352,0.7030874797,-0.2072183579,0.3292906342,-0.2682857064,0.7038620390
2.190000,-0.2663954258,0.7061447757,-0.1760270292,0.2822006893,-0.2663772000,0.7105151747
2.200000,-0.2679999114,0.7087320844,-0.1448764064,0.2352880199,-0.2742782548,0.7107788595
2.210000,-0.2692930711,0.7108510236,-0.1137609480,0.1885216161,-0.2720527555,0.7147102568
2.220000,-0.2702752297,0.7125029015,-0.0826752989,0.1418706410,-0.2715012464,0.7067881413
2.230000,-0.2709466591,0.7136887189,-0.0516142602,0.0953044091,-0.2727548588,0.7117716373
2.240000,-0.2713075800,0.7144091703,-0.0205727536,0.0487923584,-0.2665245704,0.7236510700
2.250000,-0.2713581626,0.7146646451,0.0104542184,0.0023040198,-0.2784517922,0.7166250353
2.260000,-0.2710985276,0.7144552283,0.0414716151,-0.0441910169,-0.2754256889,0.7181921931
2.270000,-0.2705287457,0.7137807011,0.0724844004,-0.0907231378,-0.2774021856,0.7151443748
2.280000,-0.2696488382,0.7126405406,0.1034975870,-0.1373227399,-0.2758356043,0.7147672199
2.290000,-0.2684587757,0.7110339199,0.1345162771,-0.1840202643,-0.2678384962,0.7098793997
2.300000,-0.2669584769,0.7089597072,0.1655457010,-0.2308462268,-0.2749606796,0.7268176033
2.310000,-0.2651478079,0.7064164652,0.1965912507,-0.2778312445,-0.2613784640,0.7044356856
2.320000,-0.2630265796,0.7034024497,0.2276585070,-0.3250060560,-0.2642606585,0.7032108436
2.330000,-0.2605945461,0.6999156086,0.2587532580,-0.3724015335,-0.2602506045,0.6877914269
2.340000,-0.2578514028,0.6959535801,0.2898815080,-0.4200486850,-0.2562385191,0.7014849134
2.350000,-0.2547967836,0.6915136922,0.3210494720,-0.4679786428,-0.2569676162,0.6887524274
2.360000,-0.2514302596,0.6865929605,0.3522635558,-0.5162226348,-0.2462678610,0.6862889900
2.370000,-0.2477513369,0.6811880885,0.3835303164,-0.5648119355,-0.2487230506,0.6785478857
2.380000,-0.2437594556,0.6752954666,0.4148563989,-0.6137777894,-0.2407891043,0.6746020519
2.390000,-0.2394539891,0.6689111738,0.4462484457,-0.6631513029,-0.2404495510,0.6674899383
2.400000,-0.2348342450,0.6620309789,0.4777129731,-0.7129632946,-0.2333798731,0.6618157700
2.410000,-0.2298994672,0.6546503451,0.5092562061,-0.7632440965,-0.2285011538,0.6543863377
2.420000,-0.2246488394,0.6467644355,0.5408838669,-0.8140232940,-0.2233989897,0.6459934090
2.430000,-0.2190814918,0.6383681227,0.5726009045,-0.8653293908,-0.2239530310,0.6375287366
2.440000,-0.2131965104,0.6294560012,0.6044111565,-0.9171893830,-0.2110171316,0.6359985934
2.450000,-0.2069929500,0.6200224053,0.6363169286,-0.9696282235,-0.2085877350,0.6244294899
2.460000,-0.2004698523,0.6100614327,0.6683184775,-1.0226681524,-0.1973174121,0.6144986443
2.470000,-0.1936262689,0.5995669758,0.7004133774,-1.0763278675,-0.2043887362,0.5959047314
2.480000,-0.1864612927,0.5885327616,0.7325957519,-1.1306215036,-0.1937868738,0.5948168658
2.490000,-0.1789740959,0.5769524041,0.7648553461,-1.1855573852,-0.1771568681,0.5826106266
2.500000,-0.1711639801,0.5648194688,0.7971764134,-1.2411365105,-0.1618493422,0.5620524471
2.510000,-0.1630304370,0.5521275556,0.8295363892,-1.2973507259,-0.1588551433,0.5597468157
2.520000,-0.1545732246,0.5388704007,0.8619043222,-1.3541805401,-0.1579854793,0.5354542710
2.530000,-0.1457924599,0.5250420023,0.8942390348,-1.4115925339,-0.1542527220,0.5158318432
2.540000,-0.1366887315,0.5106367751,0.9264869869,-1.4695363199,-0.1329753004,0.5161444051
2.550000,-0.1272632353,0.4956497369,0.9585798283,-1.5279410181,-0.1276661514,0.4950521430
2.560000,-0.1175179361,0.4800767332,0.9904316347,-1.5867112317,-0.1145644150,0.4849613410
2.570000,-0.1074557586,0.4639147048,1.0219358494,-1.6457225377,-0.1068792650,0.4601436940
2.580000,-0.0970808097,0.4471620023,1.0529619861,-1.7048165553,-0.0969325950,0.4408531523
2.590000,-0.0863986352,0.4298187516,1.0833521989,-1.7637957237,-0.0716055079,0.4359781105
2.600000,-0.0754165103,0.4118872720,1.1129178912,-1.8224180169,-0.0754471601,0.4048509291
2.610000,-0.0641437632,0.3933725465,1.1414366232,-1.8803919442,-0.0649399892,0.3855673939
2.620000,-0.0525921259,0.3742827385,1.1686496778,-1.9373723366,-0.0531993693,0.3646548041
2.630000,-0.0407761054,0.3546297439,1.1942607575,-1.9929575800,-0.0436937889,0.3406573824
2.640000,-0.0287133584,0.3344297599,1.2179363887,-2.0466891208,-0.0237626939,0.3292342380
2.650000,-0.0164250521,0.3137038444,1.2393086842,-2.0980541880,-0.0181938238,0.3028568046
2.660000,-0.0039361820,0.2924784273,1.2579811194,-2.1464927043,-0.0007564685,0.2923003999
2.670000,0.0087241854,0.2707857282,1.2735378752,-2.1914092410,0.0101472005,0.2596036414
2.680000,0.0215227823,0.2486640271,1.2855570458,-2.2321905315,0.0276177116,0.2431926600
2.690000,0.0344221608,0.2261577323,1.2936275820,-2.2682284783,0.0365230588,0.2378180423
2.700000,0.0473808986,0.2033171934,1.2973692575,-2.2989477697,0.0413139747,0.2050428146
2.710000,0.0603540155,0.1801982233,1.2964542831,-2.3238362771,0.0537215766,0.1804622517
2.720000,0.0732936048,0.1568613123,1.2906285759,-2.3424755018,0.0803354506,0.1487575524
2.730000,0.0861496667,0.1333705524,1.2797303036,-2.3545677426,0.0831061126,0.1321425640
2.740000,0.0988711027,0.1097923192,1.2637033230,-2.3599565800,0.0922680898,0.1100328621
2.750000,0.1114068116,0.0861937963,1.2426035961,-2.3586378709,0.1080587186,0.0781678923
2.760000,0.1237068089,0.0626414426,1.2165975703,-2.3507596529,0.1300299354,0.0632723461
