t_s,theta1_rad_clean,theta2_rad_clean,theta1_rad_noisy,theta2_rad_noisy
1.540000,0.0606016796,-0.0351577568,0.0597961364,-0.0391165607
1.550000,0.0698876779,-0.0351164140,0.0611952540,-0.0468402685
1.560000,0.0790999290,-0.0350353826,0.0823365533,-0.0309153848
1.570000,0.0882289650,-0.0349142855,0.0841488485,-0.0419882846
1.580000,0.0972654122,-0.0347527912,0.0955956098,-0.0333441094
1.590000,0.1062000010,-0.0345506142,0.1046503102,-0.0327868263
1.600000,0.1150235761,-0.0343075163,0.1092670573,-0.0393740960
1.610000,0.1237271064,-0.0340233067,0.1153585120,-0.0336785384
1.620000,0.1323016942,-0.0336978434,0.1326763426,-0.0382246036
1.630000,0.1407385850,-0.0333310328,0.1444852956,-0.0309808512
1.640000,0.1490291766,-0.0329228312,0.1534800798,-0.0354036793
1.650000,0.1571650276,-0.0324732448,0.1425141403,-0.0435170076
1.660000,0.1651378667,-0.0319823300,0.1631770808,-0.0301154226
1.670000,0.1729396003,-0.0314501942,0.1766231686,-0.0389416754
1.680000,0.1805623212,-0.0308769956,0.1906823707,-0.0301708707
1.690000,0.1879983163,-0.0302629437,0.1937132306,-0.0363288123
1.700000,0.1952400738,-0.0296082997,0.1890030948,-0.0284532939
1.710000,0.2022802908,-0.0289133761,0.1999226704,-0.0281529874
1.720000,0.2091118803,-0.0281785371,0.2149804446,-0.0260355814
1.730000,0.2157279773,-0.0274041983,0.2117330743,-0.0299328902
1.740000,0.2221219457,-0.0265908270,0.2110659271,-0.0265303090
1.750000,0.2282873844,-0.0257389418,0.2259555233,-0.0255951052
1.760000,0.2342181325,-0.0248491125,0.2341911762,-0.0179812036
1.770000,0.2399082751,-0.0239219595,0.2420389464,-0.0202968286
1.780000,0.2453521487,-0.0229581539,0.2426387473,-0.0336410338
1.790000,0.2505443456,-0.0219584171,0.2544535033,-0.0226738685
1.800000,0.2554797188,-0.0209235197,0.2538541631,-0.0270253220
1.810000,0.2601533862,-0.0198542817,0.2630496258,-0.0156256877
1.820000,0.2645607345,-0.0187515715,0.2647625493,-0.0249931313
1.830000,0.2686974231,-0.0176163055,0.2596013639,-0.0221703790
1.840000,0.2725593874,-0.0164494469,0.2632718039,-0.0192739970
1.850000,0.2761428424,-0.0152520055,0.2666641496,-0.0291311017
1.860000,0.2794442851,-0.0140250364,0.2812539144,-0.0140941995
1.870000,0.2824604972,-0.0127696393,0.2826448529,-0.0059681140
1.880000,0.2851885482,-0.0114869577,0.2799858779,-0.0125525257
1.890000,0.2876257967,-0.0101781772,0.2905323660,-0.0053273090
1.900000,0.2897698930,-0.0088445253,0.2844823867,-0.0112754322
1.910000,0.2916187803,-0.0074872696,0.2825462824,-0.0128435369
1.920000,0.2931706964,-0.0061077168,0.2937188344,-0.0062704444
1.930000,0.2944241751,-0.0047072114,0.2998857565,-0.0023387248
1.940000,0.2953780467,-0.0032871347,0.2987970247,-0.0018569686
1.950000,0.2960314393,-0.0018489029,0.2918143175,-0.0008097079
1.960000,0.2963837790,-0.0003939659,0.2876904907,0.0025434041
1.970000,0.2964347903,0.0010761938,0.2961253737,0.0019861484
1.980000,0.2961844963,0.0025600633,0.3035567902,-0.0011340880
1.990000,0.2956332186,0.0040561003,0.3005804997,0.0013322462
2.000000,0.2947815767,0.0055627350,0.2973269438,0.0036594050
2.010000,0.2936304878,0.0070783716,0.2891499112,0.0086155709
2.020000,0.2921811660,0.0086013900,0.2863457706,0.0172153725
2.030000,0.2904351208,0.0101301479,0.2938788265,0.0059264281
2.040000,0.2883941567,0.0116629820,0.2812006457,0.0186123782
2.050000,0.2860603711,0.0131982100,0.2958901624,0.0112240168
2.060000,0.2834361529,0.0147341329,0.2880164444,0.0179233211
2.070000,0.2805241808,0.0162690360,0.2759724518,0.0196627075
2.080000,0.2773274205,0.0178011918,0.2767829425,0.0162641062
2.090000,0.2738491233,0.0193288610,0.2658835540,0.0245697793
2.100000,0.2700928226,0.0208502952,0.2684539051,0.0180471859
2.110000,0.2660623316,0.0223637384,0.2723318115,0.0270038812
2.120000,0.2617617397,0.0238674293,0.2709948793,0.0145786928
2.130000,0.2571954098,0.0253596030,0.2606298346,0.0333357880
2.140000,0.2523679740,0.0268384935,0.2405444034,0.0318070634
2.150000,0.2472843301,0.0283023353,0.2497131950,0.0356621745
2.160000,0.2419496375,0.0297493657,0.2444100706,0.0237595910
2.170000,0.2363693122,0.0311778269,0.2342628573,0.0277100420
2.180000,0.2305490228,0.0325859679,0.2350931837,0.0319352941
2.190000,0.2244946852,0.0339720468,0.2185952196,0.0316397249
2.200000,0.2182124570,0.0353343327,0.2215490827,0.0378485320
2.210000,0.2117087326,0.0366711081,0.2111244680,0.0287151845
2.220000,0.2049901366,0.0379806705,0.2075522531,0.0436442152
2.230000,0.1980635185,0.0392613349,0.2097682889,0.0401455381
2.240000,0.1909359454,0.0405114358,0.1926644381,0.0450551390
2.250000,0.1836146960,0.0417293290,0.1812381306,0.0351468900
2.260000,0.1761072531,0.0429133940,0.1715143566,0.0456831825
2.270000,0.1684212968,0.0440620358,0.1670502038,0.0474472578
2.280000,0.1605646963,0.0451736872,0.1606605095,0.0444128410
2.290000,0.1525455027,0.0462468105,0.1497619488,0.0433013906
2.300000,0.1443719406,0.0472798996,0.1540640317,0.0473034263
2.310000,0.1360523994,0.0482714820,0.1389282590,0.0412133255
2.320000,0.1275954255,0.0492201205,0.1256142991,0.0523978828
2.330000,0.1190097127,0.0501244157,0.1260668171,0.0484807894
2.340000,0.1103040932,0.0509830071,0.1019826528,0.0467133970
2.350000,0.1014875286,0.0517945754,0.1080928912,0.0454395659
2.360000,0.0925691001,0.0525578443,0.0988769352,0.0530122745
2.370000,0.0835579987,0.0532715822,0.0938278962,0.0464642948
2.380000,0.0744635154,0.0539346037,0.0754331624,0.0541896836
2.390000,0.0652950310,0.0545457716,0.0709317586,0.0553481136
2.400000,0.0560620061,0.0551039983,0.0584201043,0.0543128833
2.410000,0.0467739702,0.0556082477,0.0498732229,0.0552301277
2.420000,0.0374405114,0.0560575363,0.0324529050,0.0549267441
2.430000,0.0280712660,0.0564509351,0.0355968798,0.0560950312
2.440000,0.0186759075,0.0567875707,0.0203814312,0.0665454454
2.450000,0.0092641359,0.0570666269,0.0029710178,0.0632258761
2.460000,-0.0001543332,0.0572873459,-0.0006755531,0.0623023249
2.470000,-0.0095697793,0.0574490298,-0.0190011738,0.0568516189
2.480000,-0.0189724881,0.0575510415,-0.0277527411,0.0539318483
2.490000,-0.0283527621,0.0575928058,-0.0330941212,0.0586150866
2.500000,-0.0377009317,0.0575738109,-0.0340769826,0.0672412205
2.510000,-0.0470073658,0.0574936089,-0.0405184082,0.0577107423
2.520000,-0.0562624826,0.0573518172,-0.0606134432,0.0605819494
2.530000,-0.0654567602,0.0571481191,-0.0672663508,0.0577212922
2.540000,-0.0745807471,0.0568822646,-0.0736225858,0.0631101726
2.550000,-0.0836250724,0.0565540712,-0.0839570869,0.0614285395
2.560000,-0.0925804567,0.0561634246,-0.0915996278,0.0573184616
2.570000,-0.1014377212,0.0557102792,-0.1075129992,0.0523155319
2.580000,-0.1101877986,0.0551946587,-0.1074492105,0.0611915210
2.590000,-0.1188217421,0.0546166564,-0.1198650646,0.0650038746
2.600000,-0.1273307353,0.0539764358,-0.1296122145,0.0504870375
2.610000,-0.1357061013,0.0532742305,-0.1325455081,0.0665461076
2.620000,-0.1439393120,0.0525103448,-0.1426454261,0.0596143297
2.630000,-0.1520219967,0.0516851535,-0.1497224348,0.0431474811
2.640000,-0.1599459507,0.0507991021,-0.1608537728,0.0517849020
2.650000,-0.1677031438,0.0498527069,-0.1603159090,0.0501894183
2.660000,-0.1752857283,0.0488465546,-0.1769282797,0.0515036592
2.670000,-0.1826860466,0.0477813020,-0.1757888501,0.0504630818
2.680000,-0.1898966388,0.0466576763,-0.1914240124,0.0411986317
2.690000,-0.1969102499,0.0454764740,-0.1935166761,0.0464750753
2.700000,-0.2037198369,0.0442385611,-0.2088306774,0.0438281403
2.710000,-0.2103185749,0.0429448720,-0.2196726568,0.0446997078
2.720000,-0.2166998643,0.0415964094,-0.2118877772,0.0498311769
2.730000,-0.2228573358,0.0401942432,-0.2249636275,0.0354083261
2.740000,-0.2287848570,0.0387395100,-0.2247516214,0.0320056139
2.750000,-0.2344765375,0.0372334121,-0.2275738595,0.0454550944
2.760000,-0.2399267340,0.0356772164,-0.2436674916,0.0339071013
2.770000,-0.2451300553,0.0340722538,-0.2481736844,0.0398381562
2.780000,-0.2500813666,0.0324199178,-0.2493907553,0.0389381307
2.790000,-0.2547757943,0.0307216634,-0.2559948136,0.0199149908
2.800000,-0.2592087297,0.0289790058,-0.2586697847,0.0285366601
2.810000,-0.2633758325,0.0271935192,-0.2587587438,0.0227891670
2.820000,-0.2672730348,0.0253668353,-0.2720750590,0.0240095524
2.830000,-0.2708965440,0.0235006417,-0.2714009804,0.0233166348
2.840000,-0.2742428457,0.0215966806,-0.2680177522,0.0321627684
2.850000,-0.2773087064,0.0196567471,-0.2726943142,0.0236499912
2.860000,-0.2800911761,0.0176826875,-0.2753113649,0.0151113572
2.870000,-0.2825875902,0.0156763973,-0.2858026228,0.0185348460
2.880000,-0.2847955716,0.0136398198,-0.2840279364,0.0163716677
2.890000,-0.2867130325,0.0115749439,-0.2839380285,0.0102835811
2.900000,-0.2883381756,0.0094838024,-0.2859542373,0.0116919888
2.910000,-0.2896694954,0.0073684696,-0.2926637750,0.0013839702
2.920000,-0.2907057793,0.0052310596,-0.2850343954,0.0048969233
2.930000,-0.2914461084,0.0030737241,-0.2877004122,-0.0035629438
2.940000,-0.2918898578,0.0008986500,-0.2973459928,0.0057746232
2.950000,-0.2920366971,-0.0012919425,-0.2882940374,0.0002913716
2.960000,-0.2918865907,-0.0034958025,-0.2848482746,-0.0109189852
2.970000,-0.2914397971,-0.0057106505,-0.2932516048,0.0015335863
2.980000,-0.2906968692,-0.0079341808,-0.2911117656,-0.0107183131
2.990000,-0.2896586535,-0.0101640641,-0.2826060314,-0.0138325778
3.000000,-0.2883262891,-0.0123979498,-0.2956321756,-0.0159016280
3.010000,-0.2867012071,-0.0146334685,-0.2938985620,-0.0176308699
3.020000,-0.2847851292,-0.0168682346,-0.2810452620,-0.0158212422
3.030000,-0.2825800662,-0.0190998486,-0.2843181375,-0.0228819737
3.040000,-0.2800883166,-0.0213259000,-0.2883692109,-0.0173213378
3.050000,-0.2773124644,-0.0235439700,-0.2862920247,-0.0232561914
3.060000,-0.2742553770,-0.0257516337,-0.2718399366,-0.0378932699
3.070000,-0.2709202032,-0.0279464629,-0.2625571203,-0.0289145349
3.080000,-0.2673103703,-0.0301260291,-0.2704511107,-0.0322761333
3.090000,-0.2634295812,-0.0322879057,-0.2668822858,-0.0340474935
3.100000,-0.2592818116,-0.0344296711,-0.2617144877,-0.0367091427
3.110000,-0.2548713065,-0.0365489112,-0.2573430485,-0.0405521587
3.120000,-0.2502025764,-0.0386432219,-0.2455934509,-0.0355351661
3.130000,-0.2452803941,-0.0407102124,-0.2559626704,-0.0401699183
3.140000,-0.2401097898,-0.0427475072,-0.2387705999,-0.0509361153
3.150000,-0.2346960472,-0.0447527493,-0.2255739230,-0.0433069663
3.160000,-0.2290446988,-0.0467236027,-0.2254921410,-0.0455693604
3.170000,-0.2231615208,-0.0486577553,-0.2236964604,-0.0496381694
3.180000,-0.2170525282,-0.0505529210,-0.2150223824,-0.0568079468
3.190000,-0.2107239690,-0.0524068431,-0.2053533447,-0.0592954286
3.200000,-0.2041823187,-0.0542172963,-0.2074242662,-0.0521073492
3.210000,-0.1974342741,-0.0559820896,-0.2051233361,-0.0611610619
3.220000,-0.1904867471,-0.0576990692,-0.1881250908,-0.0565785609
3.230000,-0.1833468580,-0.0593661202,-0.1804192935,-0.0496435334
3.240000,-0.1760219289,-0.0609811700,-0.1799683110,-0.0624300027
3.250000,-0.1685194761,-0.0625421903,-0.1671763424,-0.0573980824
3.260000,-0.1608472033,-0.0640471997,-0.1652673292,-0.0540230584
3.270000,-0.1530129930,-0.0654942660,-0.1433875564,-0.0781025668
3.280000,-0.1450248998,-0.0668815088,-0.1510694658,-0.0675083368
3.290000,-0.1368911410,-0.0682071016,-0.1366712497,-0.0733227797
3.300000,-0.1286200891,-0.0694692742,-0.1257274713,-0.0653058121
3.310000,-0.1202202623,-0.0706663148,-0.1206474135,-0.0712046130
3.320000,-0.1117003163,-0.0717965724,-0.1129485820,-0.0713377251
3.330000,-0.1030690346,-0.0728584586,-0.0890158442,-0.0681381050
3.340000,-0.0943353198,-0.0738504500,-0.0895963830,-0.0667529521
3.350000,-0.0855081833,-0.0747710899,-0.0982944098,-0.0662484470
3.360000,-0.0765967361,-0.0756189905,-0.0708511485,-0.0785677418
3.370000,-0.0676101786,-0.0763928344,-0.0654076962,-0.0814084357
3.380000,-0.0585577910,-0.0770913768,-0.0625128530,-0.0841916207
3.390000,-0.0494489227,-0.0777134472,-0.0619660283,-0.0730632620
3.400000,-0.0402929819,-0.0782579506,-0.0354836824,-0.0752551248
3.410000,-0.0310994259,-0.0787238696,-0.0228950287,-0.0739095934
3.420000,-0.0218777498,-0.0791102657,-0.0280450696,-0.0749970481
3.430000,-0.0126374764,-0.0794162808,-0.0159878051,-0.0905577578
3.440000,-0.0033881454,-0.0796411383,-0.0026177708,-0.0786594209
3.450000,0.0058606971,-0.0797841448,0.0068375111,-0.0744676338
3.460000,0.0150995092,-0.0798446909,0.0160868447,-0.0811073964
3.470000,0.0243187643,-0.0798222526,0.0254421134,-0.0800652190
3.480000,0.0335089609,-0.0797163920,0.0289937170,-0.0843744298
3.490000,0.0426606340,-0.0795267584,0.0414367664,-0.0789941093
3.500000,0.0517643651,-0.0792530894,0.0474306092,-0.0777476219
3.510000,0.0608107928,-0.0788952110,0.0636558192,-0.0710447667
3.520000,0.0697906230,-0.0784530389,0.0706203078,-0.0863444980
3.530000,0.0786946394,-0.0779265786,0.0831770588,-0.0741316638
3.540000,0.0875137130,-0.0773159262,0.0846767352,-0.0829811715
3.550000,0.0962388126,-0.0766212685,0.0889309453,-0.0761365796
3.560000,0.1048610144,-0.0758428835,0.0992039221,-0.0714052931
3.570000,0.1133715113,-0.0749811404,0.1120179592,-0.0699093472
3.580000,0.1217616225,-0.0740364996,0.1189166109,-0.0641077875
3.590000,0.1300228026,-0.0730095131,0.1387135703,-0.0640016410
3.600000,0.1381466505,-0.0719008238,0.1373827093,-0.0724471490
3.610000,0.1461249183,-0.0707111658,0.1449226733,-0.0703458541
3.620000,0.1539495195,-0.0694413635,0.1536341993,-0.0646236272
3.630000,0.1616125374,-0.0680923320,0.1551252290,-0.0646734841
3.640000,0.1691062328,-0.0666650757,0.1662820576,-0.0700295255
3.650000,0.1764230520,-0.0651606882,0.1777607964,-0.0686243257
3.660000,0.1835556342,-0.0635803514,0.1908550553,-0.0614184661
3.670000,0.1904968181,-0.0619253347,0.1884199502,-0.0511205652
3.680000,0.1972396495,-0.0601969940,0.1928403478,-0.0653927276
3.690000,0.2037773875,-0.0583967710,0.1993530945,-0.0643916982
3.700000,0.2101035106,-0.0565261915,0.2046108751,-0.0636992920
3.710000,0.2162117230,-0.0545868647,0.2177648973,-0.0610060017
3.720000,0.2220959602,-0.0525804816,0.2129291597,-0.0559800196
3.730000,0.2277503943,-0.0505088135,0.2349641697,-0.0405453634
3.740000,0.2331694395,-0.0483737108,0.2238170599,-0.0455747614
3.750000,0.2383477562,-0.0461771012,0.2394491593,-0.0309745660
3.760000,0.2432802565,-0.0439209878,0.2502668314,-0.0467948100
3.770000,0.2479621075,-0.0416074477,0.2491777099,-0.0460242372
3.780000,0.2523887363,-0.0392386298,0.2530186489,-0.0322491059
3.790000,0.2565558329,-0.0368167530,0.2595091258,-0.0337529447
3.800000,0.2604593539,-0.0343441040,0.2574973625,-0.0308759983
3.810000,0.2640955260,-0.0318230351,0.2580923439,-0.0318568951
3.820000,0.2674608486,-0.0292559623,0.2675794887,-0.0234468007
3.830000,0.2705520965,-0.0266453626,0.2694084051,-0.0240737266
3.840000,0.2733663224,-0.0239937716,0.2663079578,-0.0169581911
3.850000,0.2759008589,-0.0213037815,0.2800359392,-0.0187339457
3.860000,0.2781533210,-0.0185780380,0.2813868629,-0.0151889476
3.870000,0.2801216068,-0.0158192379,0.2746838974,-0.0150037972
3.880000,0.2818038999,-0.0130301266,0.2703275890,-0.0215898577
3.890000,0.2831986701,-0.0102134950,0.2819728600,-0.0154286261
3.900000,0.2843046745,-0.0073721768,0.2883997822,-0.0108348376
3.910000,0.2851209583,-0.0045090458,0.2855084816,-0.0052253435
3.920000,0.2856468553,-0.0016270128,0.2854627839,0.0031868499
3.930000,0.2858819884,0.0012709774,0.2834149678,-0.0043380169
3.940000,0.2858262694,0.0041819490,0.2866264527,0.0074282701
3.950000,0.2854798989,0.0071028982,0.2909701764,0.0118687613
3.960000,0.2848433664,0.0100307967,0.2815734165,0.0070369825
